HAVE_EISA -> HAVE_EISA
X86 -> EISA_VLB_PRIMING
EISA -> EISA_VLB_PRIMING
!PARISC -> EISA_PCI_EISA
PCI -> EISA_PCI_EISA
EISA -> EISA_PCI_EISA
EISA -> EISA_VIRTUAL_ROOT
(ALPHA -> EISA_VIRTUAL_ROOT
X86) -> EISA_VIRTUAL_ROOT
EISA -> EISA_NAMES
FORCE_PCI -> HAVE_PCI
FORCE_PCI -> PCI
HAVE_PCI -> GENERIC_PCI_IOMAP
PCI -> PCI_DOMAINS
PCI_DOMAINS_GENERIC -> PCI_DOMAINS
HOTPLUG_PCI -> HOTPLUG_PCI_PCIE
PCIEPORTBUS -> HOTPLUG_PCI_PCIE
PCIEPORTBUS -> PCIEAER
PCIEAER -> RAS
PCIEAER -> PCIEAER_INJECT
PCIEAER_INJECT -> GENERIC_IRQ_INJECTION
PCIEAER -> PCIEAER_CXL
CXL_PCI -> PCIEAER_CXL
PCIEAER -> PCIE_ECRC
PCIEASPM -> PCIEASPM
PCIEASPM -> PCIEASPM_DEFAULT
PCIEASPM -> PCIEASPM_POWERSAVE
PCIEASPM -> PCIEASPM_POWER_SUPERSAVE
PCIEASPM -> PCIEASPM_PERFORMANCE
PCIEPORTBUS -> PCIE_PME
PM -> PCIE_PME
PCIEPORTBUS -> PCIE_DPC
PCIEAER -> PCIE_DPC
PCIE_DPC -> PCIE_EDR
ACPI -> PCIE_EDR
PCI_MSI -> GENERIC_MSI_IRQ
DEBUG_KERNEL -> PCI_DEBUG
PCI_IOV -> PCI_REALLOC_ENABLE_AUTO
PCI_IOV -> PCI_PF_STUB
XEN_PV -> XEN_PCIDEV_FRONTEND
XEN_PCIDEV_FRONTEND -> PCI_XEN
XEN_PCIDEV_FRONTEND -> XEN_XENBUS_FRONTEND
PCI_IOV -> PCI_ATS
PCI_PRI -> PCI_ATS
PCI_PASID -> PCI_ATS
ZONE_DEVICE -> PCI_P2PDMA
64BIT -> PCI_P2PDMA
PCI_P2PDMA -> GENERIC_ALLOCATOR
PCI_P2PDMA -> NEED_SG_DMA_FLAGS
PCI_LABEL -> NLS
((X86 -> PCI_HYPERV
X86_64) -> PCI_HYPERV
ARM64) -> PCI_HYPERV
HYPERV -> PCI_HYPERV
PCI_MSI -> PCI_HYPERV
SYSFS -> PCI_HYPERV
PCI_HYPERV -> PCI_HYPERV_INTERFACE
OF_IRQ -> PCI_DYNAMIC_OF_NODES
PCI -> PCI_DYNAMIC_OF_NODES
EXPERT -> PCI_DYNAMIC_OF_NODES
PCI_DYNAMIC_OF_NODES -> OF_DYNAMIC
PCI -> PCIE_BUS_TUNE_OFF
PCI -> PCIE_BUS_DEFAULT
PCI -> PCIE_BUS_SAFE
PCI -> PCIE_BUS_PERFORMANCE
PCI -> PCIE_BUS_PEER2PEER
(PCI -> VGA_ARB
!S390) -> VGA_ARB
VGA_ARB -> VGA_ARB_MAX_GPUS
PCI -> VGA_ARB_MAX_GPUS
SYSFS -> VGA_ARB_MAX_GPUS
